Timestamp,Mode,Target,Model,Encoding,Qubits,Max_Layers,Seed,Kernel_Type,Train_Kernel,Kernel_Optimizer,Optimizer,Tuner,CV_Folds,Features,PCA_Components,Baseline_MAE_kcal_mol,CV_MAE_kcal_mol,Test_MAE_kcal_mol,Test_STD_kcal_mol,Test_MSE_label,Train_Loss_or_TrainMSE,Best_Params
010323,delta,AE,QSVR,highdim,5,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.5977,10.2781,105.645038,110.971703,"OrderedDict([('C', 981.0950743293403), ('epsilon', 0.39356634229742254)])"
010323,delta,AE,QSVR,chebyshev,5,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.2178,10.0317,100.640201,101.433836,"OrderedDict([('C', 1000.0), ('epsilon', 0.0063586752731773135)])"
010328,delta,AE,QSVR,chebyshev,5,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.8006,10.6401,113.394897,122.619527,"OrderedDict([('C', 1000.0), ('epsilon', 0.0059236288035438515)])"
010342,delta,AE,QSVR,yz_cx,5,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.6551,10.3288,106.69121,112.852213,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
010355,delta,AE,QSVR,hubregtsen,5,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.6735,10.3725,107.588041,112.627044,"OrderedDict([('C', 994.9962553246583), ('epsilon', 0.04290206263298263)])"
010405,delta,AE,QSVR,cpkernel,7,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.4174,8.7479,76.683316,75.184527,"OrderedDict([('C', 1000.0), ('epsilon', 1.047848119853858)])"
010414,delta,AE,QSVR,multicontrol,3,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5233,11.1257,124.088973,136.734462,"OrderedDict([('C', 1000.0), ('epsilon', 0.3992983875617732)])"
010510,delta,AE,QSVR,cpkernel,7,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.5829,8.94,80.091546,76.594101,"OrderedDict([('C', 1000.0), ('epsilon', 1.047848119853858)])"
010526,delta,AE,QSVR,paramz,3,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5813,11.1934,125.316692,132.928085,"OrderedDict([('C', 980.2691879024452), ('epsilon', 0.9296287907460632)])"
010532,delta,AE,QSVR,yz_cx,5,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.3711,10.0748,101.506235,105.098342,"OrderedDict([('C', 1000.0), ('epsilon', 0.5076438708611394)])"
010532,delta,AE,QSVR,multicontrol,5,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.4447,10.1564,103.156903,107.472033,"OrderedDict([('C', 984.1245726389288), ('epsilon', 0.386526545631102)])"
010556,delta,AE,QSVR,chebyshev,3,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.1459,10.8069,116.83385,121.560681,"OrderedDict([('C', 1000.0), ('epsilon', 0.26990043054408436)])"
010609,delta,AE,QSVR,cpkernel,7,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.4727,8.8118,77.838654,76.372533,"OrderedDict([('C', 1000.0), ('epsilon', 1.047848119853858)])"
010611,delta,AE,QSVR,cpkernel,9,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9 lap_eig_1 Freq,,10.8686,N/A,6.0002,8.1619,66.657482,64.022069,"OrderedDict([('C', 1000.0), ('epsilon', 0.02956831953393965)])"
010644,delta,AE,QSVR,cpkernel,5,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.7352,10.4187,108.552006,116.762063,"OrderedDict([('C', 1000.0), ('epsilon', 0.04948596755910139)])"
010711,delta,AE,QSVR,highdim,5,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.3969,10.1327,102.673368,105.263919,"OrderedDict([('C', 1000.0), ('epsilon', 0.015866032820133106)])"
010720,delta,AE,QSVR,cpkernel,9,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9 lap_eig_1 Freq,,10.8686,N/A,6.4167,8.6473,74.781979,75.075577,"OrderedDict([('C', 1000.0), ('epsilon', 0.02956831953393965)])"
010729,delta,AE,QSVR,chebyshev,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.1488,10.5571,111.78135,120.638556,"OrderedDict([('C', 1000.0), ('epsilon', 0.013903797016818206)])"
010752,delta,AE,QSVR,multicontrol,5,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.6549,10.2651,105.38524,112.846766,"OrderedDict([('C', 1000.0), ('epsilon', 0.003803282081907896)])"
010820,delta,AE,QSVR,multicontrol,3,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.3686,10.8016,116.847964,123.962437,"OrderedDict([('C', 1000.0), ('epsilon', 1.1652859732507241)])"
010900,delta,AE,QSVR,highdim,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.3682,10.7869,116.426622,127.577666,"OrderedDict([('C', 1000.0), ('epsilon', 0.12523322665864717)])"
010905,delta,AE,QSVR,multicontrol,5,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.5965,10.2894,105.883271,110.401938,"OrderedDict([('C', 1000.0), ('epsilon', 0.9125739232194388)])"
010923,delta,AE,QSVR,cpkernel,9,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9 lap_eig_1 Freq,,10.8686,N/A,6.2098,8.4515,71.448696,67.904111,"OrderedDict([('C', 1000.0), ('epsilon', 0.02956831953393965)])"
010927,delta,AE,QSVR,paramz,5,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.9306,10.8795,118.433288,121.46693,"OrderedDict([('C', 986.1685000300196), ('epsilon', 0.6604795794828047)])"
010934,delta,AE,QSVR,highdim,5,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.3209,10.116,102.334034,103.481123,"OrderedDict([('C', 994.7455067094289), ('epsilon', 0.29363330661220627)])"
010948,delta,AE,QSVR,highdim,5,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.2817,10.086,101.738799,102.621976,"OrderedDict([('C', 431.97968616736347), ('epsilon', 0.002613090070732005)])"
